1,29-Dec-2010,Northeast Division,Corporate,Actual,Salaries,22080
2,29-Dec-2010,Northeast Division,Corporate,Budget,Salaries,20200
3,29-Dec-2010,Northeast Division,Corporate,Budget,Payroll Taxes,2000
4,29-Dec-2010,Northeast Division,Corporate,Actual,Payroll Taxes,2208
5,29-Dec-2010,Northeast Division,Corporate,Actual,Employee Benefits,1546
6,29-Dec-2010,Northeast Division,Corporate,Budget,Employee Benefits,1800
7,29-Dec-2010,Northeast Division,Corporate,Budget,Travel Transportation,380
8,29-Dec-2010,Northeast Division,Corporate,Actual,Travel Transportation,378
9,29-Dec-2010,Northeast Division,Corporate,Actual,Travel Lodging,344
10,29-Dec-2010,Northeast Division,Corporate,Budget,Travel Lodging,380
11,29-Dec-2010,Northeast Division,Corporate,Budget,Meals,200
12,29-Dec-2010,Northeast Division,Corporate,Actual,Meals,174
13,29-Dec-2010,Northeast Division,Corporate,Actual,Entertainment,132
14,29-Dec-2010,Northeast Division,Corporate,Budget,Entertainment,100
15,29-Dec-2010,Northeast Division,Corporate,Actual,Other Travel Related,38
16,29-Dec-2010,Northeast Division,Corporate,Actual,Conferences,54
17,29-Dec-2010,Northeast Division,Corporate,Budget,Conferences,70
18,29-Dec-2010,Northeast Division,Corporate,Budget,Office Supplies,300
19,29-Dec-2010,Northeast Division,Corporate,Actual,Office Supplies,250
20,29-Dec-2010,Northeast Division,Corporate,Actual,Professional Services,114
21,29-Dec-2010,Northeast Division,Corporate,Budget,Professional Services,100
22,29-Dec-2010,Northeast Division,Corporate,Budget,Telephone,280
23,29-Dec-2010,Northeast Division,Corporate,Actual,Telephone,297
24,29-Dec-2010,Northeast Division,Corporate,Actual,Utilities,535
25,29-Dec-2010,Northeast Division,Corporate,Budget,Utilities,480
26,29-Dec-2010,Northeast Division,Corporate,Budget,Other Expenses,200
27,29-Dec-2010,Northeast Division,Corporate,Actual,Other Expenses,153
28,29-Dec-2010,Northeast Division,Corporate,Actual,Building Leasehold,586
29,29-Dec-2010,Northeast Division,Corporate,Budget,Building Leasehold,550
30,29-Dec-2010,Northeast Division,Corporate,Budget,Vehicles,380
31,29-Dec-2010,Northeast Division,Corporate,Actual,Vehicles,363
32,29-Dec-2010,Northeast Division,Corporate,Actual,Equipment,35
33,29-Dec-2010,Northeast Division,Corporate,Budget,Equipment,40
34,29-Dec-2010,Northeast Division,Corporate,Budget,Furniture and Fixtures,100
35,29-Dec-2010,Northeast Division,Corporate,Actual,Furniture and Fixtures,123
36,29-Dec-2010,Northeast Division,Corporate,Actual,Other Assets,103
37,29-Dec-2010,Northeast Division,Corporate,Budget,Other Assets,100
38,29-Dec-2010,Northeast Division,Corporate,Budget,Amortization of Goodwill,100
39,29-Dec-2010,Northeast Division,Corporate,Actual,Amortization of Goodwill,98
40,29-Dec-2010,Northeast Division,Corporate,Actual,Rent,540
41,29-Dec-2010,Northeast Division,Corporate,Budget,Rent,480
42,29-Dec-2010,Northeast Division,Corporate,Actual,Interest Income,201
43,29-Dec-2010,Northeast Division,Corporate,Actual,Interest Expense,309
44,29-Dec-2010,Northeast Division,Corporate,Actual,Gain/Loss on Sales of Asset,-247
45,29-Dec-2010,Northeast Division,Corporate,Actual,Other Income,412
46,29-Dec-2010,Northeast Division,Corporate,Actual,Taxes,214
47,29-Dec-2010,Northeast Division,Corporate,Actual,Headcount,12
48,29-Dec-2010,Northeast Division,Executive General and Administration,Actual,Finished Goods,23197
49,29-Dec-2010,Northeast Division,Research and Development,Actual,Intercompany Sales,3059
50,29-Dec-2010,Northeast Division,Research and Development,Budget,Intercompany Sales,3200
51,29-Dec-2010,Northeast Division,Research and Development,Budget,Returns and Adjustments,2600
52,29-Dec-2010,Northeast Division,Research and Development,Actual,Returns and Adjustments,2294
53,29-Dec-2010,Northeast Division,Research and Development,Actual,Standard Cost of Sales,33968
54,29-Dec-2010,Northeast Division,Research and Development,Budget,Standard Cost of Sales,27200
55,29-Dec-2010,Northeast Division,Research and Development,Budget,Variances,3800
56,29-Dec-2010,Northeast Division,Research and Development,Actual,Variances,3186
57,29-Dec-2010,Northeast Division,Research and Development,Actual,Salaries,16320
58,29-Dec-2010,Northeast Division,Research and Development,Budget,Salaries,14300
59,29-Dec-2010,Northeast Division,Research and Development,Budget,Payroll Taxes,1600
60,29-Dec-2010,Northeast Division,Research and Development,Actual,Payroll Taxes,1632
61,29-Dec-2010,Northeast Division,Research and Development,Actual,Employee Benefits,979
62,29-Dec-2010,Northeast Division,Research and Development,Budget,Employee Benefits,1100
63,29-Dec-2010,Northeast Division,Research and Development,Budget,Commissions,2400
64,29-Dec-2010,Northeast Division,Research and Development,Actual,Commissions,1912
65,29-Dec-2010,Northeast Division,Research and Development,Actual,Travel Transportation,220
66,29-Dec-2010,Northeast Division,Research and Development,Budget,Travel Transportation,280
